阿根廷地理	agentingdili	agtdl
风流艳侠传奇	fengliuyanxiachuanqi	flyxcq
疯魔传说	fengmochuanshuo	fmcs
枫叶奇情	fengyeqiqing	fyqq
风云传说	fengyunchuanshuo	fycs
风之暗黑传	fengzhianheichuan	fzahc
佛本行集经	fobenhangjijing	fbhjj
佛地经	fodijing	fdj
佛地经论	fodijinglun	fdjl
佛所行赞	fosuoxingzan	fsxz
付法藏因缘传	fufazangyinyuanchuan	ffzyyc
福乐智慧	fulezhihui	flzh
缚美传	fumeichuan	fmc
傅邪真传说	fuxiezhenchuanshuo	fxzcs
概率论	gailvlun	gll
改造传统农业	gaizaochuantongnongye	gzctny
感觉的分析	ganjuedefenxi	gjdfx
感觉心理	ganjuexinli	gjxl
肛花盛开	ganghuashengkai	ghsk
高超音速粘流	gaochaoyinsuzhanliu	gcyszl
高贵者的品行	gaoguizhedepinxing	ggzdpx
高僧传	gaosengchuan	gsc
高僧法显传	gaosengfaxianchuan	gsfxc
高识传	gaoshichuan	gsc
高太尉新传	gaotaiweixinzhuan	gtwxz
高衙内新传	gaoyaneixinzhuan	gynxz
格萨尔王传	gesaerwangchuan	gsewc
共通感觉论	gongtongganjuelun	gtgjl
公羊传	gongyangchuan	gyc
公冶长	gongyechang	gyc
工业地理学	gongyedilixue	gydlx
沟通行动理论	goutongxingdonglilun	gtxdll
构造地质学	gouzaodizhixue	gzdzx
古地理学	gudilixue	gdlx
穀梁传	guliangchuan	glc
古清凉传	guqingliangchuan	gqlc
古音王传	guyinwangchuan	gywc
孤月行	guyuexing	gyx
古尊宿语录	guzunsuyulu	gzsyl
管理行为	guanlixingwei	glxw
观心觉梦钞	guanxinjuemengchao	gxjmc
广百将传	guangbaijiangchuan	gbjc
国朝学案小识	guochaoxueanxiaoshi	gcxaxs
海底地质学	haididizhixue	hddzx
海东高僧传	haidonggaosengchuan	hdgsc
海上花列传	haishanghualiezhuan	hshlz
海洋重力学	haiyangzhonglixue	hyzlx
韩国娱乐大亨	hanguoyuledaheng	hgyldh
汉上易传	hanshangyizhuan	hsyz
韩诗外传	hanshiwaizhuan	hswz
寒天行侠传	hantianxingxiachuan	htxxc
行水金鉴	hangshuijinjian	hsjj
好逑传	haoqiuchuan	hqc
浩然正气传	haoranzhengqichuan	hrzqc
何春传奇史	hechunchuanqishi	hccqs
合锦回文传	hejinhuiwenchuan	hjhwc
和卓传	hezhuochuan	hzc
黑客传说	heikechuanshuo	hkcs
黑雪传说	heixuechuanshuo	hxcs
横浦心传	hengpuxinchuan	hpxc
横行在异世	hengxingzaiyishi	hxzys
红都秘事	hongdumishi	hdms
洪范传	hongfanchuan	hfc
洪范五行传	hongfanwuxingchuan	hfwxc
红风传	hongfengchuan	hfc
红绿灯单行线	honglvdengdanxingxian	hlddxx
弘赞法华传	hongzanfahuachuan	hzfhc
狐狸缘全传	huliyuanquanzhuan	hlyqz
花的奇妙世界	huadeqimiaoshijie	hdqmsj
花都猎人	huadulieren	hdlr
